,pl_name,pl_orbper,pl_rade,pl_ratror,pl_rprs2,pl_ratdor,sy_kmag,pl_Teq,pl_Trock,ed_1.4_Trock,ed_1.4_Teq,delta_Na,efficiency_kmag,noise,ESM,TSM,disc_facility
968,Kepler-121 b,3.17741748,2.56,0.03451440360534037,0.001191244056232332,12.330882352941176,12.796,1071.3,1368.9,3.9,0.5,,1.0,310.57023499939686,1.4963263008942183,,Kepler
969,Kepler-121 c,41.00812595,2.552,0.03440654609407368,0.001183810414123617,68.29411764705883,12.796,457.0,583.9,0.0,0.0,,1.0,310.57023499939686,0.13695901024636928,,Kepler
970,Kepler-1210 b,8.07123121,1.672,0.016135483685496624,0.0002603538337649277,,13.833,976.2,1247.5,0.4,0.0,,1.0,500.67952400244,0.16325970018169483,,Kepler
971,Kepler-1211 b,11.01796683,3.16,0.02476113463780562,0.0006131137885515373,,14.318,956.0,1221.7,0.7,0.1,,1.0,625.9790961291602,0.27327527240103083,,Kepler
972,Kepler-1212 b,12.94129069,2.086,0.016206962137878443,0.0002626656217386254,,13.565,959.8,1226.6,0.3,0.0,,1.0,442.54743780127853,0.1596501888019416,,Kepler
973,Kepler-1213 b,5.34982412,1.595,0.009947470809511099,9.89521755060754e-05,,11.988,1373.3,1754.9,1.3,0.3,,1.0,214.07198231948556,0.2529296091725094,,Kepler
974,Kepler-1214 b,18.8264395,2.096,0.02528407132535954,0.0006392842627858685,,13.351,610.0,779.5,0.0,0.0,,1.0,401.01427324190604,0.15857569725183443,,Kepler
975,Kepler-1215 b,4.76704451,1.121,0.011170872783746118,0.00012478839875063977,,12.714,1109.8,1418.2,0.5,0.1,,1.0,299.06103408829796,0.1703739070556908,,Kepler
976,Kepler-1216 b,4.37061307,1.455,0.011910069380274748,0.00014184975264295812,,13.613,1255.2,1604.0,1.2,0.2,,1.0,452.43878836833716,0.15330686850232064,,Kepler
977,Kepler-1217 b,2.03231664,1.851,0.015859590219761178,0.0002515266019387444,,13.807,1670.2,2134.4,9.8,2.6,,1.0,494.72041324702855,0.39386411089844864,,Kepler
978,Kepler-1218 b,22.92295825,1.742,0.010864259655277951,0.00011803213785730018,,12.177,843.7,1078.1,0.0,0.0,,1.0,233.53922285257246,0.1042301330628249,,Kepler
979,Kepler-1219 b,16.1051008,3.03,0.009678990253218,9.368285232188905e-05,,10.809,1266.4,1618.4,0.8,0.1,,1.0,124.38265726263748,0.3663438843759422,,Kepler
980,Kepler-122 b,5.76629009,2.423,0.017629995026135603,0.0003108167246215661,10.920634920634921,12.826,1279.1,1634.5,2.6,0.5,,1.0,314.8906973368048,0.46875053167713904,,Kepler
981,Kepler-122 c,12.46606378,6.017,0.04378030543634252,0.0019167151440994427,18.428571428571427,12.826,989.5,1264.5,2.6,0.3,,1.0,314.8906973368048,1.7425657282518148,,Kepler
982,Kepler-122 d,21.58622462,2.328,0.0169387653408352,0.0002869217712718798,26.448412698412696,12.826,823.9,1052.8,0.1,0.0,,1.0,314.8906973368048,0.17237918673869337,,Kepler
983,Kepler-122 e,37.99461932,2.549,0.018546783871902457,0.0003439831919910611,38.73412698412698,12.826,682.4,872.0,0.0,0.0,634283.9915840728,1.0,314.8906973368048,0.12705378968667713,0.7510703962185078,Kepler
984,Kepler-122 f,56.26038914,2.369,0.017101360437965955,0.0002924565288292271,,12.826,598.8,765.2,0.0,0.0,,1.0,314.8906973368048,0.07512383700654078,0.40069243884157574,Kepler
985,Kepler-1220 b,7.42690084,1.502,0.013909261074159738,0.00019346754362913532,,13.208,1015.2,1297.3,0.3,0.0,,1.0,375.4566757807601,0.16004224012120033,,Kepler
986,Kepler-1221 b,12.00100172,1.88,0.021019061341971765,0.00044180093969757193,,13.665,,,,,,1.0,463.4040559884986,,,Kepler
987,Kepler-1222 b,1.91694207,0.766,0.009363470078098799,8.767457190345152e-05,,12.187,1255.7,1604.6,0.9,0.2,,1.0,234.6171909270393,0.20738546326052879,,Kepler
988,Kepler-1223 b,16.30124576,1.459,0.016312133243583406,0.0002660856909564189,,12.429,591.6,756.0,0.0,0.0,,1.0,262.2767724675018,0.10527015928273446,,Kepler
989,Kepler-1224 b,13.32358855,1.291,0.009946003360378217,9.892298284465478e-05,,11.588,943.5,1205.7,0.1,0.0,,1.0,178.0573193014796,0.13705117451716425,,Kepler
990,Kepler-1225 b,7.01073928,2.075,0.014746797325319545,0.00021746803135405166,,13.282,1179.7,1507.5,1.0,0.2,,1.0,388.47209765058733,0.2218967776554867,,Kepler
